#{"t_start": 1775936749.6811981, "env_id": "None"}
r,l,t
-2994.386899,15000,14.659005
-2130.926734,15000,28.88195
1799.306318,15000,54.9237
707.404299,15000,69.344092
3175.913381,15000,95.621413
5538.102918,15000,110.10587
8369.880552,15000,136.457723
12572.540883,15000,151.137416
14483.686527,15000,177.504406
16553.102816,15000,192.268874
19639.197551,15000,218.817339
19910.498702,15000,233.736737
20208.244875,15000,260.318006
20431.643845,15000,275.28004
20126.213669,15000,302.157308
21114.932947,15000,317.123051
21003.138503,15000,343.795056
20543.580969,15000,358.626818
20959.532881,15000,385.196228
19768.671069,15000,400.03417
21248.508922,15000,426.623936
20023.659644,15000,441.430196
20046.510489,15000,468.373763
22368.460935,15000,483.300784
21481.876619,15000,510.122286
21262.538075,15000,525.080972
